matrix_id,kind,document,section_ref,title,requirement_id,service_group,status,implementation_refs,positive_test_refs,negative_test_refs,artifact_refs,linked_methods,linked_assets,claim_scope,supported_subset_for,policy_basis,python_runtime_status,python_runtime_disposition,certi_runtime_status,certi_runtime_disposition,portico_runtime_status,portico_runtime_disposition,pitch_runtime_status,pitch_runtime_disposition,pitch_jpype_runtime_disposition,pitch_py4j_runtime_disposition,vendor_evidence_refs,vendor_notes,vendor_source,vendor_profile_bucket,vendor_profile_refs,vendor_profile_notes,vendor_profile_source,notes,source
REQ-OMT-4_1-object_model_identification,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.1,Object model identification,REQ-OMT-4_1-object_model_identification,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,object_model_identification
REQ-OMT-4_2-object_class_structure,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.2,Object class structure table,REQ-OMT-4_2-object_class_structure,OMT/FOM,pass,hla2010/fom.py::parse_fom_xml,tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,object_class_structure
REQ-OMT-4_3-interaction_class_structure,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.3,Interaction class structure table,REQ-OMT-4_3-interaction_class_structure,OMT/FOM,pass,hla2010/fom.py::parse_fom_xml,tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,interaction_class_structure
REQ-OMT-4_4-attribute_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.4,Attribute table,REQ-OMT-4_4-attribute_table,OMT/FOM,pass,hla2010/fom.py::parse_fom_xml,tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,attribute_table
REQ-OMT-4_5-parameter_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.5,Parameter table,REQ-OMT-4_5-parameter_table,OMT/FOM,pass,hla2010/fom.py::parse_fom_xml,tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,parameter_table
REQ-OMT-4_6-dimension_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.6,Dimension table,REQ-OMT-4_6-dimension_table,OMT/FOM,pass,hla2010/fom.py::parse_fom_xml,tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,dimension_table
REQ-OMT-4_7-time_representation_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.7,Time representation table,REQ-OMT-4_7-time_representation_table,OMT/FOM,pass,hla2010/fom.py::parse_fom_xml,tests/factories/test_fom_time_factories.py::test_python_rti_resolves_fom_path_and_uses_requested_time_factory; tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_strict_fom_lookup_rejects_unknown_names; tests/time/test_mom_mim_and_time_semantics_v010.py::test_mom_fom_module_request_reports_requested_module_payload,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,time_representation_table
REQ-OMT-4_8-user_supplied_tag_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.8,User-supplied tag table,REQ-OMT-4_8-user_supplied_tag_table,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,user_supplied_tag_table
REQ-OMT-4_9-synchronization_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.9,Synchronization table,REQ-OMT-4_9-synchronization_table,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,synchronization_table
REQ-OMT-4_10-transportation_type_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.10,Transportation type table,REQ-OMT-4_10-transportation_type_table,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,transportation_type_table
REQ-OMT-4_11-update_rate_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.11,Update rate table,REQ-OMT-4_11-update_rate_table,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,update_rate_table
REQ-OMT-4_12-switches_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.12,Switches table,REQ-OMT-4_12-switches_table,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,switches_table
REQ-OMT-4_13-datatype_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.13,Datatype tables,REQ-OMT-4_13-datatype_table,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,datatype_table
REQ-OMT-4_14-notes_table,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §4.14,Notes table,REQ-OMT-4_14-notes_table,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,notes_table
REQ-OMT-5-lexicon,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §5,FOM/SOM lexicon,REQ-OMT-5-lexicon,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,lexicon
REQ-OMT-6-conformance,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §6,Conformance,REQ-OMT-6-conformance,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,conformance
REQ-OMT-7-merging_rules,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §7,FOM module/SOM module merging rules,REQ-OMT-7-merging_rules,OMT/FOM,pass,hla2010/fom.py::merge_fom_modules,tests/scenarios/test_startup_sync_fom_java_translation_v09.py::test_conflicting_time_implementations_are_rejected; tests/backends/test_python_backend_federation_extended.py::test_create_federation_execution_with_explicit_mim_overrides_default_mim; tests/backends/test_python_backend_federation_extended.py::test_join_federation_execution_with_additional_modules_updates_catalog,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,verified,verified,verified,,,,,,,,,merging_rules
REQ-OMT-Annex_D-dif,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §Annex D,OMT data interchange format,REQ-OMT-Annex_D-dif,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,dif
REQ-OMT-Annex_E-schema,omt-area,IEEE 1516.2-2010 (2010 edition),IEEE 1516.2-2010 (2010 edition) §Annex E,OMT conformance XML Schema,REQ-OMT-Annex_E-schema,OMT/FOM,planned,,,,,,,,,,,not-applicable,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,,schema
HLA1516-FW-001,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) Framework concepts,Framework concepts,HLA1516-FW-001,requirement,partial,docs/verification/verification_plan.md,,,analysis/compliance/requirements_matrix_2010.csv; requirements/family_seed_rows.csv,,,,,,,vendor-divergent,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Supported boundary: top-level framework scope is stated explicitly in the authored framework rules catalog; Supported boundary: top-level framework scope is stated explicitly in the authored framework rules catalog,requirements/family_seed_rows.csv
HLA1516-RULE-001,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) Federation and federate rules,Federation rules,HLA1516-RULE-001,requirement,partial,packages/hla2010-rti-python/src/hla2010_rti_python/federation_lifecycle.py,,,analysis/compliance/requirements_matrix_2010.csv; requirements/family_seed_rows.csv,,,,,,,vendor-divergent,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Supported boundary: architectural rule scope is stated explicitly in the authored framework rules catalog; Supported boundary: architectural rule scope is stated explicitly in the authored framework rules catalog,requirements/family_seed_rows.csv
HLA1516-RULE-12.1-001,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.1,Coordinated save,HLA1516-RULE-12.1-001,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/federation_sync.py,tests/backends/test_python_backend_federation_extended.py; tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.1-001,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Save coordination is traced explicitly through the source Clause 12 ledger and the focused compliance slice; Save coordination is traced explicitly through the source Clause 12 ledger and the focused compliance slice,requirements/active_service_rows.csv
HLA1516-RULE-12.1-002,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.1,Save outcome collection,HLA1516-RULE-12.1-002,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.1-002,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Save completion and failure collection are traced explicitly through the source Clause 12 ledger; Save completion and failure collection are traced explicitly through the source Clause 12 ledger,requirements/active_service_rows.csv
HLA1516-RULE-12.1-003,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.1,Scheduled save at logical time,HLA1516-RULE-12.1-003,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/time_services.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.1-003,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Scheduled save timing is traced explicitly through the source Clause 12 ledger; Scheduled save timing is traced explicitly through the source Clause 12 ledger,requirements/active_service_rows.csv
HLA1516-RULE-12.1-004,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.1,Abort save,HLA1516-RULE-12.1-004,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.1-004,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Abort-save behavior is traced explicitly through the source Clause 12 ledger; Abort-save behavior is traced explicitly through the source Clause 12 ledger,requirements/active_service_rows.csv
HLA1516-RULE-12.2-001,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Coordinated restore,HLA1516-RULE-12.2-001,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-001,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Restore coordination is traced explicitly through the source Clause 12 ledger; Restore coordination is traced explicitly through the source Clause 12 ledger,requirements/active_service_rows.csv
HLA1516-RULE-12.2-002,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Restore outcome collection,HLA1516-RULE-12.2-002,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-002,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Restore completion and failure collection are traced explicitly through the source Clause 12 ledger; Restore completion and failure collection are traced explicitly through the source Clause 12 ledger,requirements/active_service_rows.csv
HLA1516-RULE-12.2-003,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Restore logical time state,HLA1516-RULE-12.2-003,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/time_services.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-003,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Restore time-state reinstatement is traced explicitly through the source Clause 12 ledger; Restore time-state reinstatement is traced explicitly through the source Clause 12 ledger,requirements/active_service_rows.csv
HLA1516-RULE-12.2-004,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Abort restore,HLA1516-RULE-12.2-004,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py,tests/backends/test_python_backend_federation_extended.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-004,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Abort-restore behavior is traced explicitly through the source Clause 12 ledger; Abort-restore behavior is traced explicitly through the source Clause 12 ledger,requirements/active_service_rows.csv
HLA1516-RULE-12.2-005,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Restore object instance names values and existence,HLA1516-RULE-12.2-005,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/object.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-005,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Focused restore proof now shows saved object existence name mapping and attribute value state are reinstated after restore; Focused restore proof now shows saved object existence name mapping and attribute value state are reinstated after restore,requirements/active_service_rows.csv
HLA1516-RULE-12.2-006,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Restore object ownership and attribute ownership state,HLA1516-RULE-12.2-006,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/ownership.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-006,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Focused restore proof now shows saved object ownership and per-attribute ownership state are reinstated after restore; Focused restore proof now shows saved object ownership and per-attribute ownership state are reinstated after restore,requirements/active_service_rows.csv
HLA1516-RULE-12.2-007,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Restore federate runtime flags and lookahead,HLA1516-RULE-12.2-007,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/callbacks.py; packages/hla2010-rti-python/src/hla2010_rti_python/time_services.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-007,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Focused restore proof now shows saved asynchronous delivery time-regulation time-constrained and lookahead state are reinstated after restore; Focused restore proof now shows saved asynchronous delivery time-regulation time-constrained and lookahead state are reinstated after restore,requirements/active_service_rows.csv
HLA1516-RULE-12.2-008,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Restore automatic resign and advisory policy state,HLA1516-RULE-12.2-008,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/support.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-008,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Focused restore proof now shows automatic resign directives and advisory-switch settings are reinstated from the saved federate-local snapshot; Focused restore proof now shows automatic resign directives and advisory-switch settings are reinstated from the saved federate-local snapshot,requirements/active_service_rows.csv
HLA1516-RULE-12.2-009,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Restore reporting and conveyance switch state,HLA1516-RULE-12.2-009,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/mom_actions.py; packages/hla2010-rti-python/src/hla2010_rti_python/mom_reporting.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-009,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Focused restore proof now shows service-reporting exception-reporting and conveyance switches are reinstated from the saved federate-local snapshot; Focused restore proof now shows service-reporting exception-reporting and conveyance switches are reinstated from the saved federate-local snapshot,requirements/active_service_rows.csv
HLA1516-RULE-12.2-010,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Discard stale callback queue state on restore,HLA1516-RULE-12.2-010,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/callbacks.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-010,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Focused restore proof now shows pre-restore sentinel callback queue state is discarded and replaced only by post-restore coordination callbacks; Focused restore proof now shows pre-restore sentinel callback queue state is discarded and replaced only by post-restore coordination callbacks,requirements/active_service_rows.csv
HLA1516-RULE-12.2-011,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Discard stale message retraction bookkeeping on restore,HLA1516-RULE-12.2-011,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/time_queue.py; packages/hla2010-rti-python/src/hla2010_rti_python/time_services.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-011,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Focused restore proof now shows pre-restore receiver retraction maps and sender retractable-message bookkeeping are cleared during restore; Focused restore proof now shows pre-restore receiver retraction maps and sender retractable-message bookkeeping are cleared during restore,requirements/active_service_rows.csv
HLA1516-RULE-12.2-012,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Restore attribute order override state,HLA1516-RULE-12.2-012,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/time_services.py; packages/hla2010-rti-python/src/hla2010_rti_python/object_delivery.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-012,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Focused restore proof now shows per-object per-attribute order override state is reinstated from the saved federate-local snapshot; Focused restore proof now shows per-object per-attribute order override state is reinstated from the saved federate-local snapshot,requirements/active_service_rows.csv
HLA1516-RULE-12.2-013,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Restore interaction order override state,HLA1516-RULE-12.2-013,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/time_services.py; packages/hla2010-rti-python/src/hla2010_rti_python/object_delivery.py; packages/hla2010-rti-python/src/hla2010_rti_python/ddm.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-013,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Focused restore proof now shows per-interaction-class order override state is reinstated from the saved federate-local snapshot; Focused restore proof now shows per-interaction-class order override state is reinstated from the saved federate-local snapshot,requirements/active_service_rows.csv
HLA1516-RULE-12.2-014,extracted-requirement,IEEE 1516-2010 (2010 edition),IEEE 1516-2010 (2010 edition) §12.2,Callback enablement remains runtime policy not restored state,HLA1516-RULE-12.2-014,requirement,pass,packages/hla2010-rti-python/src/hla2010_rti_python/save_restore.py; packages/hla2010-rti-python/src/hla2010_rti_python/callbacks.py; packages/hla2010-rti-python/src/hla2010_rti_python/state.py,tests/verification/test_compliance_slice_v011.py,,requirements/active_service_rows.csv; requirements/reference/hla1516_clause_12_save_restore.csv,,HLA1516-RULE-12.2-014,,,,,verified,,not-applicable,,not-applicable,,classification-required,classification-required,classification-required,,,,,,,,Focused restore proof now makes the Clause 12 design decision explicit: callback enablement is not persisted and remains the caller's post-restore runtime policy choice; Focused restore proof now makes the Clause 12 design decision explicit: callback enablement is not persisted and remains the caller's post-restore runtime policy choice,requirements/active_service_rows.csv
